CustomerID,time,label
13313,3/1/2011,0
18097,3/1/2011,0
16656,3/1/2011,1
16875,3/1/2011,0
13094,3/1/2011,0
17315,3/1/2011,1
14606,3/1/2011,1
15379,3/1/2011,1
16255,3/1/2011,0
13319,3/1/2011,1
16282,3/1/2011,0
13963,3/1/2011,0
12957,3/1/2011,1
14462,3/1/2011,0
17841,3/1/2011,1
17188,3/1/2011,0
15039,3/1/2011,1
17428,3/1/2011,1
14210,3/1/2011,0
14180,3/1/2011,1
16029,3/1/2011,1
17975,3/1/2011,1
13397,3/1/2011,0
13680,3/1/2011,0
12483,3/1/2011,0
15164,3/1/2011,0
17457,3/1/2011,0
14732,3/1/2011,1
16814,3/1/2011,1
16725,3/1/2011,0
14221,3/1/2011,0
14553,3/1/2011,0
13253,3/1/2011,0
15373,3/1/2011,0
16241,3/1/2011,0
15808,3/1/2011,0
17389,3/1/2011,0
15973,3/1/2011,0
13126,3/1/2011,1
15498,3/1/2011,1
15235,3/1/2011,0
17675,3/1/2011,1
16145,3/1/2011,0
13694,3/1/2011,1
13798,3/1/2011,1
12578,3/1/2011,0
12782,3/1/2011,1
15002,3/1/2011,0
14189,3/1/2011,1
12921,3/1/2011,1
12494,3/1/2011,0
12395,3/1/2011,1
15841,3/1/2011,0
12683,3/1/2011,1
15311,3/1/2011,1
12471,3/1/2011,1
16112,3/1/2011,0
15769,3/1/2011,1
16719,3/1/2011,0
13089,3/1/2011,1
14911,3/1/2011,1
18109,3/1/2011,0
13629,3/1/2011,0
16600,3/1/2011,0
13715,3/1/2011,0
14527,3/1/2011,1
13767,3/1/2011,0
15661,3/1/2011,0
16353,3/1/2011,0
16532,3/1/2011,0
17511,3/1/2011,1
12681,3/1/2011,1
16316,3/1/2011,1
16033,3/1/2011,1
15984,3/1/2011,0
13199,3/1/2011,1
14739,3/1/2011,0
15093,3/1/2011,0
15266,3/1/2011,0
14653,3/1/2011,0
15358,3/1/2011,1
16771,3/1/2011,1
12682,3/1/2011,1
17585,3/1/2011,0
15046,3/1/2011,0
12585,3/1/2011,0
17213,3/1/2011,0
13082,3/1/2011,1
13081,3/1/2011,1
15464,3/1/2011,0
15034,3/1/2011,0
15298,3/1/2011,1
12748,3/1/2011,1
13225,3/1/2011,1
14045,3/1/2011,0
18226,3/1/2011,1
13097,3/1/2011,1
18062,3/1/2011,0
17949,3/1/2011,1
15271,3/1/2011,0
12415,3/1/2011,1
